iter	Passed	Remaining
474	667	738
475	669	736
476	670	735
477	671	733
478	673	732
479	674	730
480	675	728
481	676	727
482	677	725
483	679	723
484	680	722
485	680	720
486	681	718
487	683	716
488	684	715
489	685	713
490	686	711
491	687	710
492	688	708
493	689	706
494	690	704
495	691	702
496	692	700
497	693	699
498	695	697
499	696	696
500	697	694
501	698	692
502	699	691
503	700	689
504	701	687
505	702	685
506	703	684
507	704	682
508	705	680
509	706	679
510	708	677
511	709	675
512	710	674
513	711	672
514	712	670
515	713	669
516	714	667
517	715	665
518	716	663
519	717	662
520	718	660
521	719	658
522	720	657
523	721	655
524	722	654
525	724	652
526	725	650
527	726	649
528	727	647
529	728	645
530	729	644
531	730	642
532	731	640
533	732	639
534	733	637
535	734	635
536	735	634
537	736	632
538	737	631
539	738	629
540	739	627
541	740	625
542	741	624
543	742	622
544	743	620
545	744	619
546	745	617
547	746	615
548	747	614
549	748	612
550	749	611
551	750	609
552	752	608
553	753	606
554	754	604
555	755	603
556	756	601
557	757	600
558	758	598
559	759	597
560	761	595
561	762	594
562	763	592
563	764	591
564	765	589
565	766	588
566	767	586
567	768	584
568	769	583
569	771	581
570	772	580
571	773	578
572	774	577
573	775	575
574	776	573
575	777	572
576	778	570
577	779	569
578	780	567
579	781	566
580	783	564
581	784	563
582	785	561
583	786	559
584	787	558
585	788	556
586	789	555
587	789	553
588	790	551
589	791	550
590	792	548
591	793	547
592	794	545
593	795	544
594	796	542
595	797	540
596	798	539
597	799	537
598	801	536
599	802	534
600	803	533
601	804	531
602	805	530
603	806	528
604	807	527
605	808	525
606	809	524
607	810	522
608	811	521
609	812	519
610	814	518
611	815	516
612	816	515
613	817	514
614	818	512
615	819	510
616	820	509
617	821	508
618	822	506
619	823	504
620	824	503
621	825	501
622	826	500
623	828	498
624	829	497
625	830	496
626	831	494
627	832	492
628	833	491
629	834	490
630	835	488
631	836	487
632	837	485
633	838	484
634	840	482
635	841	481
636	841	479
637	842	478
638	843	476
639	844	475
640	845	473
641	847	472
642	848	470
643	849	469
644	850	467
645	851	466
646	852	465
647	853	463
648	854	462
649	855	460
650	856	459
651	857	457
652	858	456
653	859	454
654	860	453
655	861	451
656	862	450
657	863	448
658	864	447
659	865	445
660	866	444
661	867	443
662	868	441
663	869	440
664	870	438
665	871	437
666	872	435
667	873	434
668	874	432
669	875	431
670	876	429
671	877	428
672	878	427
673	880	425
674	881	424
675	882	423
676	883	421
677	884	420
678	885	418
679	887	417
680	888	415
681	889	414
682	889	413
683	890	411
684	891	410
685	892	408
686	893	407
687	894	405
688	895	404
689	896	402
690	897	401
691	898	399
692	899	398
693	900	396
694	901	395
695	902	394
696	903	392
697	904	391
698	905	389
699	906	388
700	907	386
701	907	385
702	908	383
703	909	382
704	910	381
705	911	379
706	912	378
707	913	376
708	914	375
709	915	374
710	916	372
711	917	371
712	918	369
713	919	368
714	920	366
715	921	365
716	923	364
717	924	363
718	925	361
719	926	360
720	927	358
721	928	357
722	929	356
723	931	354
724	932	353
725	933	352
726	934	350
727	935	349
728	936	348
729	937	346
730	938	345
731	939	343
732	939	342
733	940	340
734	941	339
735	943	338
736	944	336
737	945	335
738	946	334
739	947	332
740	947	331
741	948	329
742	949	328
743	950	327
744	951	325
745	952	324
746	953	322
747	954	321
748	955	320
749	956	318
750	957	317
751	958	316
752	959	314
753	960	313
754	961	311
755	962	310
756	962	309
757	963	307
758	964	306
759	965	304
760	966	303
761	967	302
762	968	300
763	969	299
764	969	297
765	970	296
766	971	295
767	972	293
768	973	292
769	974	291
770	975	289
771	976	288
772	977	287
773	978	285
774	979	284
775	980	282
776	981	281
777	981	280
778	982	278
779	983	277
780	984	276
781	985	274
782	986	273
783	987	271
784	988	270
785	988	269
786	989	267
787	990	266
788	991	265
789	992	263
790	993	262
791	994	261
792	995	259
793	996	258
794	997	257
795	998	255
796	999	254
797	1000	253
798	1001	251
799	1002	250
800	1003	249
801	1003	247
802	1004	246
803	1005	245
804	1006	243
805	1007	242
806	1008	241
807	1009	239
808	1009	238
809	1010	237
810	1011	235
811	1012	234
812	1013	233
813	1014	231
814	1015	230
815	1016	229
816	1017	227
817	1018	226
818	1019	225
819	1020	223
820	1021	222
821	1022	221
822	1022	220
823	1023	218
824	1024	217
825	1025	216
826	1026	214
827	1027	213
828	1029	212
829	1030	210
830	1030	209
831	1031	208
832	1032	207
833	1033	205
834	1034	204
835	1035	203
836	1036	201
837	1037	200
838	1038	199
839	1038	197
840	1040	196
841	1041	195
842	1042	194
843	1043	192
844	1043	191
845	1044	190
846	1045	188
847	1047	187
848	1048	186
849	1048	185
850	1049	183
851	1051	182
852	1052	181
853	1053	180
854	1054	178
855	1055	177
856	1055	176
857	1056	174
858	1057	173
859	1058	172
860	1059	171
861	1060	169
862	1061	168
863	1062	167
864	1063	165
865	1064	164
866	1065	163
867	1066	162
868	1067	160
869	1068	159
870	1069	158
871	1070	157
872	1071	155
873	1072	154
874	1073	153
875	1074	152
876	1075	150
877	1076	149
878	1077	148
879	1078	147
880	1079	145
881	1080	144
882	1081	143
883	1082	141
884	1082	140
885	1083	139
886	1084	138
887	1085	136
888	1086	135
889	1087	134
890	1089	133
891	1090	131
892	1091	130
893	1092	129
894	1093	128
895	1094	126
896	1095	125
897	1096	124
898	1096	123
899	1098	122
900	1098	120
901	1099	119
902	1100	118
903	1101	116
904	1102	115
905	1103	114
906	1104	113
907	1104	111
908	1105	110
909	1106	109
910	1107	108
911	1108	106
912	1109	105
913	1109	104
914	1110	103
915	1111	101
916	1112	100
917	1113	99
918	1114	98
919	1115	96
920	1116	95
921	1117	94
922	1117	93
923	1118	92
924	1119	90
925	1120	89
926	1121	88
927	1122	87
928	1123	85
929	1124	84
930	1125	83
931	1125	82
932	1126	80
933	1127	79
934	1128	78
935	1129	77
936	1130	75
937	1131	74
938	1131	73
939	1132	72
940	1133	71
941	1134	69
942	1135	68
943	1136	67
944	1137	66
945	1137	64
946	1138	63
947	1139	62
948	1140	61
949	1141	60
950	1142	58
951	1142	57
952	1143	56
953	1144	55
954	1145	53
955	1146	52
956	1147	51
957	1148	50
958	1149	49
959	1150	47
960	1150	46
961	1151	45
962	1152	44
963	1153	43
964	1154	41
965	1155	40
966	1156	39
967	1156	38
968	1157	37
969	1158	35
970	1159	34
971	1160	33
972	1161	32
973	1162	31
974	1162	29
975	1163	28
976	1164	27
977	1165	26
978	1166	25
979	1167	23
980	1168	22
981	1169	21
982	1170	20
983	1171	19
984	1172	17
985	1172	16
986	1173	15
987	1174	14
988	1175	13
989	1176	11
990	1177	10
991	1178	9
992	1178	8
993	1179	7
994	1180	5
995	1181	4
996	1182	3
997	1183	2
998	1183	1
999	1184	0
